Names,URLs,Prices,Ratings,ASIN
"Golden Wolf Laptop Bag Anti-theft Backpack with Lock College School Laptop Backpack with Rain Cover Water Resistant Business Backpack with USB Port for 15.6-inch Laptop Office Travel Bag for Men and Women Gifts, Dark Grey  ",https://www.amazon.in//Hoteon-Backpack-Anti-Theft-Earphone-Resistant/dp/B08HM4TQZZ/ref=sr_1_197?keywords=bags&qid=1692735681&sr=8-197,"₹1,999",4.4,B08HM4TQZZ
Nelle Harper Women's Handbag  ,https://www.amazon.in//Nelle-Harper-Womens-Sling-Green/dp/B07JGQM7DC/ref=sr_1_198?keywords=bags&qid=1692735681&sr=8-198,"₹1,029",3.7,B07JGQM7DC
Asus BP1504 39.62 cm (15.6-inch) Laptop Backpack (Dark Grey)  ,https://www.amazon.in//Asus-BP1504-15-6-inch-Laptop-Backpack/dp/B0895ZZHKK/ref=sr_1_199?keywords=bags&qid=1692735681&sr=8-199,₹819,4.2,B0895ZZHKK
Wildcraft Nylon 7 inch Imp_Blue Travel Duffle (11550)  ,https://www.amazon.in//Wildcraft-Imp_Blue-Travel-Duffle-11550/dp/B075T95K1Z/ref=sr_1_200_mod_primary_new?keywords=bags&qid=1692735681&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-200,₹845,4.3,B075T95K1Z
ADISA Laptop Backpack 31 Ltrs  ,https://www.amazon.in//ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_201?keywords=bags&qid=1692735681&sr=8-201,₹399,4.0,B07G3CG9FC
"Storite Small Size Army Print Padded Nylon Cross Body Sling bag Office Travel One Side Bag for Men Women (25x19x7cm, GreenGrey)  ",https://www.amazon.in//Storite-Army-Print-Sling-GreenGrey/dp/B09KNMWWPH/ref=sr_1_202?keywords=bags&qid=1692735681&sr=8-202,₹395,4.1,B09KNMWWPH
"Ransel School Bag, Laptop Bagpack, Huge Bagpack by Jai Guru Ji Creations| Colour - Red | Size - 35L (3028)  ",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo4ODc1MjQyNjU4NTYwNTk4OjE2OTI3MzU2ODE6c3BfbXRmOjMwMDAzNjc2MTg4MjMzMjo6MDo6&url=%2FRansel-School-Bag-Bagpack-Creations%2Fdp%2FB0CDCK2XD4%2Fref%3Dsr_1_203_sspa%3Fkeywords%3Dbags%26qid%3D1692735681%26sr%3D8-203-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"₹1,200",,B0CDCK2XD4
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls  ",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo4ODc1MjQyNjU4NTYwNTk4OjE2OTI3MzU2ODE6c3BfbXRmOjIwMDkyNTI1OTc5Njk4OjowOjo&url=%2FNumber-Backpack-Compartment-Charging-Organizer%2Fdp%2FB09VTCNN75%2Fref%3Dsr_1_204_sspa%3Fkeywords%3Dbags%26qid%3D1692735681%26sr%3D8-204-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,₹679,4.0,B09VTCNN75
"ASUS BP4600 Laptop Backpack (Grey), with Cross-dyed Woven Fabric Material, Suitable for up to 40.64 cm (16-inch) Laptop  ",https://www.amazon.in//ASUS-Backpack-Cross-Dyed-Material-Suitable/dp/B09Q68446F/ref=sr_1_205?keywords=bags&qid=1692735681&sr=8-205,"₹1,199",4.4,B09Q68446F
"Genie Flamenco Laptop Backpack for Women, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College  ",https://www.amazon.in//Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF1XJXY/ref=sr_1_206?keywords=bags&qid=1692735681&sr=8-206,₹803,4.4,B08YF1XJXY
HYDER Kids 20L Cartoon Printed Best Stylish Lightweight Spacious Waterproof Casual/Picnic/Tuition/School Bag/Backpack for Children Boys And Girls  ,https://www.amazon.in//HYDER-Superhero-Lightweight-Spacious-Waterproof/dp/B0BJ6CTJ3Q/ref=sr_1_207?keywords=bags&qid=1692735681&sr=8-207,₹499,3.9,B0BJ6CTJ3Q
Frantic Velvet Kids School/Nursery/Picnic/Carry/Travelling Bag - 2 to 5 Year Age  ,https://www.amazon.in//Frantic-Velvet-School-Nursery-Travelling/dp/B09176PYDR/ref=sr_1_208?keywords=bags&qid=1692735681&sr=8-208,₹299,3.8,B09176PYDR
